,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
35,36,0,good,17,quickshift,blend_3,100,100,False,30000,5000,3,0.12557310615866185,lm_p_maxloss,9.704495719382933,0.9695207412140572,1.6280723651187587,0.7882207,0.78822069243608,0.7882207,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0035130234852355593,0.3024088,9.319043,0.0,0.0,0.0,0.0,0.0
36,37,0,good,18,quickshift,blend_2,100,100,False,30000,5000,3,0.1276064601155619,lm_p_maxloss,9.74091697792916,0.9883821645493759,1.5034750524686673,0.62615794,0.6261579272179895,0.62615794,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002633214829984354,0.27268445,9.329975,0.0,0.0,0.0,0.0,0.0
37,38,0,good,18,quickshift,blend_3,100,100,False,30000,5000,3,0.13343356938840828,lm_p_maxloss,9.715872401446642,0.9857689943834022,1.5724098596218297,0.6598991,0.6598990956044029,0.6598991,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002633214829984354,0.27268445,9.329975,0.0,0.0,0.0,0.0,0.0
38,39,0,good,19,quickshift,blend_2,100,100,False,30000,5000,3,0.1166236137715194,lm_p_maxloss,8.242298143965865,0.9928086769715638,1.5505046310178239,0.74009424,0.7400942697052645,0.74009424,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020122495382868997,0.2537899,8.170374,0.0,0.0,0.0,0.0,0.0
39,40,0,good,19,quickshift,blend_3,100,100,False,30000,5000,3,0.1110630961601821,lm_p_maxloss,8.269888198923496,0.9922771710268391,1.465431176063209,0.641495,0.6414949771143914,0.641495,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020122495382868997,0.2537899,8.170374,0.0,0.0,0.0,0.0,0.0
40,41,0,good,20,quickshift,blend_2,100,100,False,30000,5000,3,0.11628554677599771,lm_p_maxloss,6.904603037847364,0.9919723605934035,1.9027064360871835,0.9660666,0.9660666198948982,0.9660666,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0016053421604738105,0.30423057,6.729178,0.0,0.0,0.0,0.0,0.0
41,42,0,good,20,quickshift,blend_3,100,100,False,30000,5000,3,0.1144801006813353,lm_p_maxloss,6.908409855096535,0.9913394688454344,1.874525930937744,0.8898319,0.8898318925115403,0.8898319,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0016053421604738105,0.30423057,6.729178,0.0,0.0,0.0,0.0,0.0
42,43,0,good,21,quickshift,blend_2,100,100,False,30000,5000,3,0.07385754694597355,lm_p_maxloss,6.435098859302583,0.9930032335054259,1.278963482955275,0.49988967,0.49988966897512316,0.49988967,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0015056762567837723,0.24897951,6.420887,0.0,0.0,0.0,0.0,0.0
43,44,0,good,21,quickshift,blend_3,100,100,False,30000,5000,3,0.0787376064139737,lm_p_maxloss,6.409870519667091,0.991007301986685,1.3711747888071837,0.50481033,0.5048103462067765,0.50481033,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0015056762567837723,0.24897951,6.420887,0.0,0.0,0.0,0.0,0.0
44,45,0,good,22,quickshift,blend_2,100,100,False,30000,5000,3,0.10989563163888681,lm_p_maxloss,9.5391788978355,0.9847592448125145,1.4599333691952203,0.7843459,0.7843459182886481,0.7843459,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002614444058660107,0.31684414,9.27745,0.0,0.0,0.0,0.0,0.0
