,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
33,34,1,scratch_head,9,quickshift,blend_2,100,100,False,30000,5000,3,0.5161067178432821,lm_p_loss,1.566361039413524,3.1716833,3.1716832411516873,2.7847033,0.21897810218978103,0.015200106452927003,0.027920159672811008,0.5740740740740741,0.04715416085357024,0.09906856834213959,0.040183871147746686,0.39375678,34.680008,0.9515737519684175,0.96450378548495,0.9842653686760796,0.9882882768389323,0.96450378548495
34,35,1,scratch_head,10,quickshift,blend_2,100,100,False,30000,5000,3,0.6628292101888201,lm_p_loss,1.6212259038774828,5.5144596,5.514459660245287,5.5144596,0.3953488372093023,0.010794648167295534,0.04030542838056664,0.4222222222222222,0.02596720946167058,0.056262812107556154,0.05495754889852833,0.40419835,45.240078,0.9781716303816047,0.9879487218688846,0.995142031555773,0.9980946520303328,0.9879487218688846
35,36,1,scratch_head,11,quickshift,blend_2,100,100,False,30000,5000,3,0.7386925925402915,lm_p_loss,2.288554431271653,6.0917115,6.091711436123221,6.0917115,0.75,0.02054960194903821,0.07655615742187259,0.4861111111111111,0.04226650933096486,0.08496495934451757,0.026224316485847037,0.42825946,33.937218,0.965794413538211,0.9969281149000303,0.9998107200749149,0.9999274189760953,0.9969281149000303
36,37,1,scratch_head,12,quickshift,blend_2,100,100,False,30000,5000,3,0.6304213386731151,lm_p_loss,1.9050001913563872,4.5994515,4.599451344012026,3.3250308,0.24242424242424243,0.02232019166308098,0.042352010566019026,0.4578313253012048,0.0540076132236217,0.09700910379357135,0.01473580114058374,0.37795797,34.7995,0.9943683855931248,0.9853960558283072,0.9965195956756594,0.9979379759498581,0.9853960558283072
37,38,1,scratch_head,13,quickshift,blend_2,100,100,False,30000,5000,3,0.6774653955750471,lm_p_loss,2.055204066961572,5.489451,5.4894511601371025,5.489451,0.4246575342465753,0.015655751822431997,0.05024272731627494,0.391304347826087,0.026287100019602605,0.05333101953360069,0.04611998386099003,0.52135557,38.36331,0.9931239297945206,0.9951238762842466,0.9997095156555773,0.9999331121575342,0.9951238762842466
38,39,1,scratch_head,14,quickshift,blend_2,100,100,False,30000,5000,3,0.5156269792296413,lm_p_loss,1.7987998317956433,2.9295087,2.9295085809893537,2.9295087,0.15813953488372093,0.01397399367629299,0.025890853906424195,0.043010752688172046,0.010590736025504284,0.01070907953986148,0.004510305302877289,0.35767162,31.998165,0.8937948561074898,0.9716701571091293,0.994081150826333,0.9949612129483649,0.9688558408044489
39,40,1,scratch_head,15,quickshift,blend_2,100,100,False,30000,5000,3,0.6258633492768597,lm_p_loss,1.5915257341990958,4.5807266,4.580726510499847,4.5807266,0.35384615384615387,0.016504226935030456,0.039196187762462774,0.2222222222222222,0.03756635973191712,0.04670931145774062,0.013555230378794173,0.3873894,41.57191,0.9360618481836634,0.9650217417932387,0.9957172604465598,0.9972593091621753,0.9650217417932387
40,41,1,scratch_head,16,quickshift,blend_2,100,100,False,30000,5000,3,0.7521605517955734,lm_p_loss,2.4882912553916734,7.0630207,7.06302048963986,7.0630207,0.11538461538461539,0.008600438122353603,0.016986208162957667,0.4696969696969697,0.03368344248796453,0.07257153052279396,0.012773971582646482,0.43194416,31.588865,0.9766523407890909,0.96760368655054,0.990883700932016,0.9899329667539564,0.96760368655054
41,42,1,scratch_head,17,quickshift,blend_2,100,100,False,30000,5000,3,0.5664349729269685,lm_p_loss,1.8273818852621773,4.2536435,4.253643585095966,3.21098,0.18085106382978725,0.008719391578123091,0.02051573582609236,0.3584905660377358,0.026852831864781268,0.05049581338023335,0.010879046868164247,0.34640953,32.9422,0.951531142927068,0.9897745349975526,0.9953713901125796,0.9969820729319628,0.9897745349975526
42,43,1,scratch_head,18,quickshift,blend_2,100,100,False,30000,5000,3,0.4574809957475358,lm_p_loss,1.713212950403599,2.6871169,2.687116862890308,2.6871169,0.38333333333333336,0.01982990335002781,0.04699438330857345,0.3626373626373626,0.0399358805377609,0.06016985263690755,0.010267771470050016,0.34388322,31.48005,0.968662705219309,0.9770261578044597,0.995193171608266,0.9961151270113535,0.9811091031609899
